original_id,original_category,original_name,original_role,original_subtype,original_node_suggestion,original_priority,method_id,standard_name,aliases,category,role,product_form,mapping_status,merge_with_ids,node_ids,related_node_ids,algorithm_status,algorithm_evidence,node_status,kernel_ids,execution_status,parameter_status,report_status,ui_acceptance,action,batch,dependencies,next_step,clarifications,notes,review_date,source_revision
1,数据处理,标题处理,Transform,Data Preparation,Transform Node,P0,data.rename,标题处理,,数据处理,Transform,数据管理操作,有源码对应（范围见备注）,,yssbi.dataframe.rename,,部分实现（列重命名）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,定义存在,yssbi.dataframe.rename,已注册（静态）,from/to 可追到关系 Rename,关系结果可分页；未执行 UI 验收,未执行,保留基础并整理/验收,B1,数据选择、类型与行域契约,按 OLS_SPEC.md 完成此项在首批中的范围，并使用现有证据核对输入、执行与报告。,标题处理是否只包括列重命名，还是还包括表头识别、合并行和批量规则？,已支持指定列重命名；表头识别和批量规则未核对。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
2,数据处理,数据标签,Transform,Data Preparation,Transform Node,P0,data.labels,数据标签,,数据处理,Transform,数据管理操作,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,数据选择、类型与行域契约,明确数据标签的输入设计、参数、输出与参考实现后开发。,区分变量标签、取值标签和图节点显示名；持久化位置需定义。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
3,数据处理,数据编码,Transform,Data Preparation,Transform Node,P0,data.encode,数据编码,,数据处理,Transform,独立节点,有源码对应（范围见备注）,,,yssbi.data_series.convert.string_to_categorical;yssbi.data_series.convert.string_to_float64;yssbi.data_series.convert.string_to_int64;yssbi.data_series.convert.int64_to_string;yssbi.data_series.convert.float64_to_string;yssbi.data_series.convert.int64_to_float64;yssbi.data_series.convert.float64_to_int64;yssbi.data_series.convert.int64_to_bool;yssbi.data_series.convert.float64_to_bool;yssbi.data_series.convert.categorical_to_string;yssbi.data_series.convert.int64_to_categorical;yssbi.data_series.convert.categorical_to_int64;yssbi.data_series.convert.float64_to_categorical;yssbi.data_series.convert.categorical_to_float64,仅定义/相关基础,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,待设计,未执行,复用已有能力并补入口,B3,数据选择、类型与行域契约,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,区分类型转换、类别编码、标签编码和虚拟变量生成。,类型转换不等同完整分类编码；数列转换节点均未注册。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
4,数据处理,生成变量,Transform,Data Preparation,Transform Node,P0,data.derive,生成变量,,数据处理,Transform,独立节点,有源码对应（范围见备注）,,yssbi.numeric.add;yssbi.numeric.subtract;yssbi.numeric.multiply;yssbi.numeric.divide,,部分实现（四则运算）,src-tauri/crates/yss-node-kernel/src/builtins/numeric.rs,定义存在,yssbi.numeric.add;yssbi.numeric.divide;yssbi.numeric.multiply;yssbi.numeric.subtract,已注册（静态）,形状、类型由语义快照解析,数列结果可查询（静态）,未执行,保留基础并整理/验收,B1,数据选择、类型与行域契约,按 OLS_SPEC.md 完成此项在首批中的范围，并使用现有证据核对输入、执行与报告。,首批仅复用明确的数列运算；表达式语言、条件生成和持久化列另定范围。,数列四则运算可生成派生值；未覆盖通用变量生成表达式或写入数据集。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
5,数据处理,无效样本,Transform,Data Preparation,Transform Node,P0,data.exclude_samples,无效样本,,数据处理,Transform,独立节点,有源码对应（范围见备注）,,yssbi.dataframe.filter.rows,,部分实现（按谓词筛选）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,定义存在,yssbi.dataframe.filter.rows,已注册（静态）,谓词配置有后端校验,关系结果可分页（静态）,未执行,保留基础并整理/验收,B1,数据选择、类型与行域契约,按 OLS_SPEC.md 完成此项在首批中的范围，并使用现有证据核对输入、执行与报告。,需要明确无效样本判定规则及行级追踪。,已有行筛选；无效样本的业务判定需用户定义。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
6,数据处理,异常值（缺失）,Transform,Missing Data,Transform Node,P0,data.outliers_missing,异常值（缺失）,,数据处理,Transform,独立节点,有源码对应（范围见备注）,,,yssbi.dataframe.filter.rows,相关基础（缺失计数）,src-tauri/crates/yss-datafusion/src/profile.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,列画像可参考；专用分析待实现,未执行,复用已有能力并补入口,B3,数据选择、类型与行域契约,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,异常值与缺失值分别定义；现有 OLS 的拒绝策略不等同清洗方法。,列画像有缺失计数；异常识别、缺失模式联合分析和插补未定位直接实现。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
7,数据处理,数据探索,Transform,Data Preparation,Transform Node,P0,data.explore,数据探索,,数据处理,Transform,工作流模板,有源码对应（范围见备注）,,,yssbi.debug.view,部分实现（画像/查看）,src-tauri/crates/yss-datafusion/src/profile.rs;src-tauri/crates/yss-application/src/chart/projection.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,已有多个分散的查看入口,未执行,复用已有能力并补入口,B3,数据选择、类型与行域契约,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,,可复用数据画像、查看和图表资源；探索流程模板尚未定义。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
8,描述统计,频数,Estimator,Descriptive Statistic,Analysis Node,P0,descriptive.frequency,频数,,描述统计,Estimator,独立节点,有源码对应（范围见备注）,,,yssbi.dataframe.series.count;yssbi.dataframe.series.mean,部分实现（列画像）,src-tauri/crates/yss-datafusion/src/profile.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,列画像入口存在；专用统计报告待设计,未执行,复用已有能力并补入口,B3,数据处理与统计结果表,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,列画像中的类别计数有上限；完整频数表需要单独定义分页与分组。,DataFusion 列画像已有类别计数与均值等；完整频数/描述统计节点尚未定义，不能用列统计 DTO 代替执行证据。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
9,描述统计,分类汇总,Transform,Data Preparation,Transform Node,P0,descriptive.group_summary,分类汇总,,描述统计,Transform,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,数据处理与统计结果表,明确分类汇总的输入设计、参数、输出与参考实现后开发。,分类汇总的分组键、聚合函数和输出结构需明确。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
10,描述统计,描述,Estimator,Descriptive Statistic,Analysis Node,P0,descriptive.summary,描述,,描述统计,Estimator,独立节点,有源码对应（范围见备注）,,,yssbi.dataframe.series.count;yssbi.dataframe.series.mean,部分实现（列画像）,src-tauri/crates/yss-datafusion/src/profile.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,列画像入口存在；专用统计报告待设计,未执行,复用已有能力并补入口,B3,数据处理与统计结果表,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,,DataFusion 列画像已有类别计数与均值等；完整频数/描述统计节点尚未定义，不能用列统计 DTO 代替执行证据。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
