node_id,title,english_title,group,kernel_id,definition_evidence,execution_status,execution_evidence,algorithm_status,algorithm_evidence,report_status,parameter_status,ui_acceptance,method_ids,action,notes,review_date,source_revision
yssbi.constant.get,读取常量,Get Constant,基础设施,yssbi.constant.get,src-tauri/crates/yss-node-catalog/src/project.rs:140,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.core.reroute,重路由,Reroute,基础设施,,src-tauri/crates/yss-node-catalog/src/core_nodes/reroute.rs,透明节点（不生成执行操作）,src-tauri/crates/yss-node-catalog/src/core_nodes/reroute.rs:52,不适用（透明路由）,,未核对,未核对,未执行,,保留并验收路由,节点实际注册为 TransparentNodeRole；内置 kernel 表虽仍有同名项，但它不是此透明节点的执行绑定。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.categorical_to_float64,分类转 Float64,Categorical to Float64,类型转换,yssbi.data_series.convert.categorical_to_float64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:92,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.categorical_to_int64,分类转 Int64,Categorical to Int64,类型转换,yssbi.data_series.convert.categorical_to_int64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:80,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.categorical_to_string,分类转字符串,Categorical to String,类型转换,yssbi.data_series.convert.categorical_to_string,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:68,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.float64_to_bool,Float64 转布尔值,Float64 to Boolean,类型转换,yssbi.data_series.convert.float64_to_bool,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:62,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.float64_to_categorical,Float64 转分类,Float64 to Categorical,类型转换,yssbi.data_series.convert.float64_to_categorical,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:86,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.float64_to_int64,Float64 转 Int64,Float64 to Int64,类型转换,yssbi.data_series.convert.float64_to_int64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:50,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.float64_to_string,Float64 转字符串,Float64 to String,类型转换,yssbi.data_series.convert.float64_to_string,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:38,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.int64_to_bool,Int64 转布尔值,Int64 to Boolean,类型转换,yssbi.data_series.convert.int64_to_bool,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:56,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.int64_to_categorical,Int64 转分类,Int64 to Categorical,类型转换,yssbi.data_series.convert.int64_to_categorical,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:74,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.int64_to_float64,Int64 转 Float64,Int64 to Float64,类型转换,yssbi.data_series.convert.int64_to_float64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:44,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.int64_to_string,Int64 转字符串,Int64 to String,类型转换,yssbi.data_series.convert.int64_to_string,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:32,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.string_to_categorical,字符串转分类,String to Categorical,类型转换,yssbi.data_series.convert.string_to_categorical,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:14,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.string_to_float64,字符串转 Float64,String to Float64,类型转换,yssbi.data_series.convert.string_to_float64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:20,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.data_series.convert.string_to_int64,字符串转 Int64,String to Int64,类型转换,yssbi.data_series.convert.string_to_int64,src-tauri/crates/yss-node-catalog/src/core_nodes/value.rs:26,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,3,补接,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.combine,合并数据框,Combine DataFrame,数据处理,yssbi.dataframe.combine,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:92,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
